date,vaccine,total_vaccinations,location
2021-07-13,Pfizer/BioNTech,2866327,Switzerland
2021-07-14,Pfizer/BioNTech,2878596,Switzerland
2021-07-15,Pfizer/BioNTech,2888909,Switzerland
2021-07-16,Pfizer/BioNTech,2899824,Switzerland
2021-07-17,Pfizer/BioNTech,2907237,Switzerland
2021-07-18,Pfizer/BioNTech,2908638,Switzerland
2021-07-19,Pfizer/BioNTech,2922817,Switzerland
2021-07-20,Pfizer/BioNTech,2933304,Switzerland
2021-07-21,Pfizer/BioNTech,2942674,Switzerland
2021-07-22,Pfizer/BioNTech,2951774,Switzerland
2021-07-23,Pfizer/BioNTech,2962098,Switzerland
2021-07-24,Pfizer/BioNTech,2967742,Switzerland
2021-07-25,Pfizer/BioNTech,2968602,Switzerland
2021-07-26,Pfizer/BioNTech,2977994,Switzerland
2021-07-27,Pfizer/BioNTech,2985863,Switzerland
2021-07-28,Pfizer/BioNTech,2994538,Switzerland
2021-07-29,Pfizer/BioNTech,3001992,Switzerland
2021-07-30,Pfizer/BioNTech,3010449,Switzerland
2021-07-31,Pfizer/BioNTech,3014043,Switzerland
2021-08-01,Pfizer/BioNTech,3015056,Switzerland
2021-08-02,Pfizer/BioNTech,3022737,Switzerland
2021-08-03,Pfizer/BioNTech,3029202,Switzerland
2021-08-04,Pfizer/BioNTech,3037064,Switzerland
2021-08-05,Pfizer/BioNTech,3044266,Switzerland
2021-08-06,Pfizer/BioNTech,3051749,Switzerland
2021-08-07,Pfizer/BioNTech,3055473,Switzerland
2021-08-08,Pfizer/BioNTech,3055962,Switzerland
2021-08-09,Pfizer/BioNTech,3063090,Switzerland
2021-08-10,Pfizer/BioNTech,3069888,Switzerland
2021-08-11,Pfizer/BioNTech,3079266,Switzerland
2021-08-12,Pfizer/BioNTech,3087095,Switzerland
2021-08-13,Pfizer/BioNTech,3094730,Switzerland
2021-08-14,Pfizer/BioNTech,3098653,Switzerland
2021-08-15,Pfizer/BioNTech,3098944,Switzerland
2021-08-16,Pfizer/BioNTech,3106541,Switzerland
2021-08-17,Pfizer/BioNTech,3114734,Switzerland
2021-08-18,Pfizer/BioNTech,3125199,Switzerland
