date,vaccine,total_vaccinations,location
2021-04-07,Pfizer/BioNTech,1485731,Czechia
2021-04-07,Oxford/AstraZeneca,247574,Czechia
2021-04-07,Johnson&Johnson,48,Czechia
2021-04-07,Moderna,202348,Czechia
2021-04-08,Johnson&Johnson,54,Czechia
2021-04-08,Moderna,208564,Czechia
2021-04-08,Oxford/AstraZeneca,258982,Czechia
2021-04-08,Pfizer/BioNTech,1537410,Czechia
2021-04-09,Johnson&Johnson,57,Czechia
2021-04-09,Moderna,216130,Czechia
2021-04-09,Oxford/AstraZeneca,270351,Czechia
2021-04-09,Pfizer/BioNTech,1587687,Czechia
2021-04-10,Pfizer/BioNTech,1613229,Czechia
2021-04-10,Oxford/AstraZeneca,273852,Czechia
2021-04-10,Johnson&Johnson,62,Czechia
2021-04-10,Moderna,217695,Czechia
2021-04-11,Johnson&Johnson,65,Czechia
2021-04-11,Moderna,218837,Czechia
2021-04-11,Oxford/AstraZeneca,274349,Czechia
2021-04-11,Pfizer/BioNTech,1631306,Czechia
2021-04-12,Johnson&Johnson,68,Czechia
2021-04-12,Moderna,227426,Czechia
2021-04-12,Oxford/AstraZeneca,283255,Czechia
2021-04-12,Pfizer/BioNTech,1676810,Czechia
2021-04-13,Oxford/AstraZeneca,292772,Czechia
2021-04-13,Pfizer/BioNTech,1718706,Czechia
2021-04-13,Moderna,237990,Czechia
2021-04-14,Moderna,248424,Czechia
2021-04-14,Oxford/AstraZeneca,302857,Czechia
2021-04-14,Pfizer/BioNTech,1764171,Czechia
2021-04-15,Moderna,257894,Czechia
2021-04-15,Oxford/AstraZeneca,311977,Czechia
2021-04-15,Pfizer/BioNTech,1818915,Czechia
2021-04-16,Oxford/AstraZeneca,318727,Czechia
2021-04-16,Pfizer/BioNTech,1872228,Czechia
2021-04-16,Moderna,267897,Czechia
2021-04-17,Pfizer/BioNTech,1894833,Czechia
2021-04-17,Moderna,270264,Czechia
2021-04-17,Oxford/AstraZeneca,319342,Czechia
2021-04-18,Moderna,271153,Czechia
2021-04-18,Oxford/AstraZeneca,319488,Czechia
2021-04-18,Pfizer/BioNTech,1911686,Czechia
2021-04-19,Moderna,278107,Czechia
2021-04-19,Oxford/AstraZeneca,325101,Czechia
2021-04-19,Pfizer/BioNTech,1958360,Czechia
2021-04-20,Moderna,284785,Czechia
2021-04-20,Oxford/AstraZeneca,331862,Czechia
2021-04-20,Pfizer/BioNTech,2002800,Czechia
2021-04-21,Pfizer/BioNTech,2051787,Czechia
2021-04-21,Oxford/AstraZeneca,339346,Czechia
2021-04-21,Moderna,290219,Czechia
2021-04-22,Johnson&Johnson,96,Czechia
2021-04-22,Moderna,296124,Czechia
2021-04-22,Oxford/AstraZeneca,347493,Czechia
2021-04-22,Pfizer/BioNTech,2109423,Czechia
2021-04-23,Johnson&Johnson,316,Czechia
2021-04-23,Moderna,299969,Czechia
2021-04-23,Oxford/AstraZeneca,353707,Czechia
2021-04-23,Pfizer/BioNTech,2160792,Czechia
2021-04-24,Pfizer/BioNTech,2182257,Czechia
2021-04-24,Oxford/AstraZeneca,354388,Czechia
2021-04-24,Moderna,300799,Czechia
2021-04-24,Johnson&Johnson,328,Czechia
2021-04-25,Johnson&Johnson,344,Czechia
2021-04-25,Moderna,302270,Czechia
2021-04-25,Oxford/AstraZeneca,354564,Czechia
2021-04-25,Pfizer/BioNTech,2199219,Czechia
2021-04-26,Johnson&Johnson,886,Czechia
2021-04-26,Moderna,306594,Czechia
2021-04-26,Oxford/AstraZeneca,360198,Czechia
2021-04-26,Pfizer/BioNTech,2245231,Czechia
2021-04-27,Pfizer/BioNTech,2291422,Czechia
2021-04-27,Oxford/AstraZeneca,366907,Czechia
2021-04-27,Moderna,312891,Czechia
2021-04-27,Johnson&Johnson,1822,Czechia
2021-04-28,Johnson&Johnson,3274,Czechia
2021-04-28,Moderna,321319,Czechia
2021-04-28,Oxford/AstraZeneca,373603,Czechia
2021-04-28,Pfizer/BioNTech,2346029,Czechia
2021-04-29,Johnson&Johnson,4883,Czechia
2021-04-29,Moderna,329168,Czechia
2021-04-29,Oxford/AstraZeneca,380141,Czechia
2021-04-29,Pfizer/BioNTech,2409711,Czechia
2021-04-30,Pfizer/BioNTech,2471127,Czechia
2021-04-30,Oxford/AstraZeneca,384035,Czechia
2021-04-30,Moderna,332968,Czechia
2021-04-30,Johnson&Johnson,6346,Czechia
2021-05-01,Johnson&Johnson,6450,Czechia
2021-05-01,Moderna,334162,Czechia
2021-05-01,Oxford/AstraZeneca,384251,Czechia
2021-05-01,Pfizer/BioNTech,2492186,Czechia
2021-05-02,Johnson&Johnson,6479,Czechia
2021-05-02,Moderna,334656,Czechia
2021-05-02,Oxford/AstraZeneca,384367,Czechia
2021-05-02,Pfizer/BioNTech,2512634,Czechia
2021-05-03,Pfizer/BioNTech,2576374,Czechia
2021-05-03,Oxford/AstraZeneca,387585,Czechia
2021-05-03,Johnson&Johnson,7606,Czechia
2021-05-03,Moderna,337663,Czechia
2021-05-04,Johnson&Johnson,9177,Czechia
2021-05-04,Moderna,344750,Czechia
2021-05-04,Oxford/AstraZeneca,391894,Czechia
2021-05-04,Pfizer/BioNTech,2636497,Czechia
2021-05-05,Johnson&Johnson,11148,Czechia
2021-05-05,Moderna,350400,Czechia
2021-05-05,Oxford/AstraZeneca,398133,Czechia
2021-05-05,Pfizer/BioNTech,2703082,Czechia
2021-05-06,Pfizer/BioNTech,2777326,Czechia
2021-05-06,Oxford/AstraZeneca,405509,Czechia
2021-05-06,Moderna,355766,Czechia
2021-05-06,Johnson&Johnson,13118,Czechia
2021-05-07,Johnson&Johnson,15048,Czechia
2021-05-07,Moderna,360612,Czechia
2021-05-07,Oxford/AstraZeneca,411284,Czechia
2021-05-07,Pfizer/BioNTech,2850041,Czechia
2021-05-08,Johnson&Johnson,15197,Czechia
2021-05-08,Moderna,361700,Czechia
2021-05-08,Oxford/AstraZeneca,411556,Czechia
2021-05-08,Pfizer/BioNTech,2879483,Czechia
2021-05-09,Pfizer/BioNTech,2903324,Czechia
2021-05-09,Oxford/AstraZeneca,411964,Czechia
2021-05-09,Moderna,362767,Czechia
2021-05-09,Johnson&Johnson,15206,Czechia
2021-05-10,Johnson&Johnson,16886,Czechia
2021-05-10,Moderna,368407,Czechia
2021-05-10,Oxford/AstraZeneca,417929,Czechia
2021-05-10,Pfizer/BioNTech,2968162,Czechia
2021-05-11,Johnson&Johnson,18704,Czechia
2021-05-11,Moderna,374715,Czechia
2021-05-11,Oxford/AstraZeneca,425513,Czechia
2021-05-11,Pfizer/BioNTech,3035418,Czechia
2021-05-12,Moderna,383080,Czechia
2021-05-12,Oxford/AstraZeneca,432934,Czechia
2021-05-12,Johnson&Johnson,20286,Czechia
2021-05-12,Pfizer/BioNTech,3105250,Czechia
2021-05-13,Pfizer/BioNTech,3180906,Czechia
2021-05-13,Oxford/AstraZeneca,439934,Czechia
2021-05-13,Johnson&Johnson,21791,Czechia
2021-05-13,Moderna,390467,Czechia
2021-05-14,Johnson&Johnson,22887,Czechia
2021-05-14,Moderna,395953,Czechia
2021-05-14,Oxford/AstraZeneca,445804,Czechia
2021-05-14,Pfizer/BioNTech,3254414,Czechia
2021-05-15,Johnson&Johnson,22950,Czechia
2021-05-15,Moderna,396684,Czechia
2021-05-15,Oxford/AstraZeneca,447728,Czechia
2021-05-15,Pfizer/BioNTech,3285614,Czechia
2021-05-16,Pfizer/BioNTech,3311067,Czechia
2021-05-16,Oxford/AstraZeneca,448479,Czechia
2021-05-16,Johnson&Johnson,22960,Czechia
2021-05-16,Moderna,397384,Czechia
2021-05-17,Johnson&Johnson,23838,Czechia
2021-05-17,Moderna,402349,Czechia
2021-05-17,Oxford/AstraZeneca,453103,Czechia
2021-05-17,Pfizer/BioNTech,3378836,Czechia
2021-05-18,Johnson&Johnson,24835,Czechia
2021-05-18,Moderna,410196,Czechia
2021-05-18,Oxford/AstraZeneca,459128,Czechia
2021-05-18,Pfizer/BioNTech,3447808,Czechia
2021-05-19,Pfizer/BioNTech,3520905,Czechia
2021-05-19,Oxford/AstraZeneca,465658,Czechia
2021-05-19,Moderna,420548,Czechia
2021-05-19,Johnson&Johnson,26063,Czechia
2021-05-20,Johnson&Johnson,27687,Czechia
2021-05-20,Moderna,431126,Czechia
2021-05-20,Oxford/AstraZeneca,472404,Czechia
2021-05-20,Pfizer/BioNTech,3602610,Czechia
2021-05-21,Johnson&Johnson,29113,Czechia
2021-05-21,Moderna,439102,Czechia
2021-05-21,Oxford/AstraZeneca,478183,Czechia
2021-05-21,Pfizer/BioNTech,3682351,Czechia
2021-05-22,Pfizer/BioNTech,3721651,Czechia
2021-05-22,Oxford/AstraZeneca,480054,Czechia
2021-05-22,Moderna,440961,Czechia
2021-05-22,Johnson&Johnson,29284,Czechia
2021-05-23,Johnson&Johnson,29291,Czechia
2021-05-23,Moderna,441867,Czechia
2021-05-23,Oxford/AstraZeneca,481495,Czechia
2021-05-23,Pfizer/BioNTech,3750534,Czechia
2021-05-24,Johnson&Johnson,30567,Czechia
2021-05-24,Moderna,450529,Czechia
2021-05-24,Oxford/AstraZeneca,487841,Czechia
2021-05-24,Pfizer/BioNTech,3813496,Czechia
2021-05-25,Oxford/AstraZeneca,498957,Czechia
2021-05-25,Pfizer/BioNTech,3877458,Czechia
2021-05-25,Johnson&Johnson,32351,Czechia
2021-05-25,Moderna,459306,Czechia
2021-05-26,Johnson&Johnson,34261,Czechia
2021-05-26,Moderna,469254,Czechia
2021-05-26,Oxford/AstraZeneca,509875,Czechia
2021-05-26,Pfizer/BioNTech,3957839,Czechia
2021-05-27,Johnson&Johnson,36377,Czechia
2021-05-27,Moderna,479329,Czechia
2021-05-27,Oxford/AstraZeneca,519432,Czechia
2021-05-27,Pfizer/BioNTech,4042511,Czechia
2021-05-28,Pfizer/BioNTech,4127177,Czechia
2021-05-28,Oxford/AstraZeneca,528694,Czechia
2021-05-28,Moderna,489239,Czechia
2021-05-28,Johnson&Johnson,38474,Czechia
2021-05-29,Johnson&Johnson,38611,Czechia
2021-05-29,Moderna,491848,Czechia
2021-05-29,Oxford/AstraZeneca,531141,Czechia
2021-05-29,Pfizer/BioNTech,4168007,Czechia
2021-05-30,Johnson&Johnson,38617,Czechia
2021-05-30,Moderna,492841,Czechia
2021-05-30,Oxford/AstraZeneca,533734,Czechia
2021-05-30,Pfizer/BioNTech,4201107,Czechia
2021-05-31,Oxford/AstraZeneca,542003,Czechia
2021-05-31,Pfizer/BioNTech,4283848,Czechia
2021-05-31,Johnson&Johnson,40464,Czechia
2021-05-31,Moderna,501172,Czechia
2021-06-01,Johnson&Johnson,42738,Czechia
2021-06-01,Moderna,511380,Czechia
2021-06-01,Oxford/AstraZeneca,553730,Czechia
2021-06-01,Pfizer/BioNTech,4364629,Czechia
2021-06-02,Johnson&Johnson,45202,Czechia
2021-06-02,Moderna,520708,Czechia
2021-06-02,Oxford/AstraZeneca,565258,Czechia
2021-06-02,Pfizer/BioNTech,4455532,Czechia
2021-06-03,Oxford/AstraZeneca,577155,Czechia
2021-06-03,Pfizer/BioNTech,4546710,Czechia
2021-06-03,Johnson&Johnson,48009,Czechia
2021-06-03,Moderna,530281,Czechia
2021-06-04,Johnson&Johnson,51257,Czechia
2021-06-04,Moderna,539565,Czechia
2021-06-04,Oxford/AstraZeneca,587661,Czechia
2021-06-04,Pfizer/BioNTech,4640747,Czechia
2021-06-05,Johnson&Johnson,51379,Czechia
2021-06-05,Moderna,540446,Czechia
2021-06-05,Oxford/AstraZeneca,589696,Czechia
2021-06-05,Pfizer/BioNTech,4690447,Czechia
2021-06-06,Pfizer/BioNTech,4730807,Czechia
2021-06-06,Johnson&Johnson,51446,Czechia
2021-06-06,Moderna,540978,Czechia
2021-06-06,Oxford/AstraZeneca,590617,Czechia
2021-06-07,Pfizer/BioNTech,4827115,Czechia
2021-06-07,Oxford/AstraZeneca,599411,Czechia
2021-06-07,Moderna,548778,Czechia
2021-06-07,Johnson&Johnson,54571,Czechia
2021-06-08,Johnson&Johnson,57627,Czechia
2021-06-08,Moderna,556989,Czechia
2021-06-08,Oxford/AstraZeneca,609921,Czechia
2021-06-08,Pfizer/BioNTech,4921080,Czechia
2021-06-09,Johnson&Johnson,61243,Czechia
2021-06-09,Moderna,566412,Czechia
