date,vaccine,total_vaccinations,location
2021-06-11,Oxford/AstraZeneca,8017241,Italy
2021-06-11,Pfizer/BioNTech,28590079,Italy
2021-06-12,Johnson&Johnson,1145278,Italy
2021-06-12,Moderna,3883916,Italy
2021-06-12,Oxford/AstraZeneca,8044250,Italy
2021-06-12,Pfizer/BioNTech,29068847,Italy
2021-06-13,Johnson&Johnson,1151005,Italy
2021-06-13,Moderna,3933452,Italy
2021-06-13,Oxford/AstraZeneca,8061712,Italy
2021-06-13,Pfizer/BioNTech,29431382,Italy
2021-06-14,Johnson&Johnson,1157860,Italy
2021-06-14,Moderna,3988719,Italy
2021-06-14,Oxford/AstraZeneca,8093493,Italy
2021-06-14,Pfizer/BioNTech,29870941,Italy
2021-06-15,Johnson&Johnson,1164968,Italy
2021-06-15,Moderna,4065971,Italy
2021-06-15,Oxford/AstraZeneca,8131017,Italy
2021-06-15,Pfizer/BioNTech,30285351,Italy
2021-06-16,Johnson&Johnson,1172984,Italy
2021-06-16,Moderna,4153196,Italy
2021-06-16,Oxford/AstraZeneca,8175736,Italy
2021-06-16,Pfizer/BioNTech,30703006,Italy
2021-06-17,Johnson&Johnson,1180893,Italy
2021-06-17,Moderna,4222432,Italy
2021-06-17,Oxford/AstraZeneca,8218427,Italy
2021-06-17,Pfizer/BioNTech,31187802,Italy
2021-06-18,Johnson&Johnson,1186837,Italy
2021-06-18,Moderna,4278760,Italy
2021-06-18,Oxford/AstraZeneca,8260435,Italy
2021-06-18,Pfizer/BioNTech,31692800,Italy
2021-06-19,Johnson&Johnson,1191334,Italy
2021-06-19,Moderna,4334280,Italy
2021-06-19,Oxford/AstraZeneca,8295546,Italy
2021-06-19,Pfizer/BioNTech,32156629,Italy
2021-06-20,Johnson&Johnson,1193891,Italy
2021-06-20,Moderna,4381859,Italy
2021-06-20,Oxford/AstraZeneca,8325800,Italy
2021-06-20,Pfizer/BioNTech,32513810,Italy
2021-06-21,Johnson&Johnson,1198758,Italy
2021-06-21,Moderna,4442221,Italy
2021-06-21,Oxford/AstraZeneca,8377846,Italy
2021-06-21,Pfizer/BioNTech,32954875,Italy
2021-06-22,Johnson&Johnson,1203946,Italy
2021-06-22,Moderna,4527299,Italy
2021-06-22,Oxford/AstraZeneca,8429354,Italy
2021-06-22,Pfizer/BioNTech,33384575,Italy
2021-06-23,Johnson&Johnson,1209598,Italy
2021-06-23,Moderna,4614008,Italy
2021-06-23,Oxford/AstraZeneca,8483296,Italy
2021-06-23,Pfizer/BioNTech,33806302,Italy
2021-06-24,Johnson&Johnson,1215066,Italy
2021-06-24,Moderna,4665627,Italy
2021-06-24,Oxford/AstraZeneca,8528279,Italy
2021-06-24,Pfizer/BioNTech,34315291,Italy
2021-06-25,Johnson&Johnson,1220117,Italy
2021-06-25,Moderna,4715512,Italy
