iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MWI,Africa,Malawi,2021-08-19,59048.0,187.0,253.571,2028.0,16.0,15.571,3086.677,9.775,13.255,106.012,0.836,0.814,0.79,,,,,,,,,,,,,,,,,,768280.0,598158.0,303470.0,,18142.0,14114.0,4.02,3.13,1.59,,738.0,42.59,19129955.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,
MYS,Asia,Malaysia,2021-08-19,1489460.0,22948.0,21035.0,13480.0,178.0,255.571,46019.282,709.016,649.91,416.486,5.5,7.896,1.1,,,,,,,,,150590.0,24045027.0,742.91,4.653,153362.0,4.738,0.135,7.4,people tested,29368856.0,17625760.0,11743096.0,,531114.0,486648.0,90.74,54.46,36.28,,15036.0,,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MDV,Asia,Maldives,2021-08-19,79659.0,134.0,120.571,222.0,0.0,0.0,147368.752,247.899,223.057,410.699,0.0,0.0,1.06,,,,,,,,,5048.0,1271880.0,2352.972,9.339,5777.0,10.687,0.02,49.6,samples tested,653886.0,356883.0,297003.0,,3196.0,3167.0,120.97,66.02,54.95,,5859.0,,540542.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,
MLI,Africa,Mali,2021-08-19,14735.0,21.0,9.429,535.0,0.0,0.143,727.624,1.037,0.466,26.419,0.0,0.007,1.03,,,,,,,,,,,,,,,,,,259719.0,173242.0,86477.0,,,7657.0,1.28,0.86,0.43,,378.0,8.33,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,
MLT,Europe,Malta,2021-08-19,35602.0,86.0,73.0,435.0,2.0,0.857,80631.609,194.773,165.331,985.19,4.53,1.941,0.86,,,,,2.574,5.83,22.31,50.528,3417.0,1129787.0,2558.748,7.739,3317.0,7.512,0.018,54.9,tests performed,787194.0,409095.0,406325.0,,1179.0,1180.0,178.28,92.65,92.02,,2672.0,43.52,441539.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,
MHL,Oceania,Marshall Islands,2021-08-19,4.0,0.0,0.0,,,0.0,67.574,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,
MRT,Africa,Mauritania,2021-08-19,31174.0,277.0,266.714,661.0,8.0,4.857,6704.576,59.574,57.362,142.161,1.721,1.045,1.0,,,,,,,,,,,,,,,,,,253336.0,230641.0,22695.0,,,2394.0,5.45,4.96,0.49,,515.0,36.11,4649660.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,
MUS,Africa,Mauritius,2021-08-19,6758.0,298.0,201.286,22.0,0.0,0.143,5313.866,234.32,158.272,17.299,0.0,0.112,1.45,,,,,,,,,,,,,,,,,,1297090.0,720910.0,576180.0,,,9938.0,101.99,56.69,45.31,,7814.0,51.85,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,
MEX,North America,Mexico,2021-08-19,3175374.0,23169.0,18543.286,251305.0,836.0,642.0,24628.141,179.698,143.821,1949.117,6.484,4.979,1.13,,,,,,,,,3985.0,8635667.0,66.978,0.031,31753.0,0.246,0.424,2.4,people tested,78765073.0,55307523.0,29903441.0,,1191607.0,825532.0,61.09,42.9,23.19,,6403.0,67.13,128932753.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,
FSM,Oceania,Micronesia (country),2021-08-19,1.0,0.0,0.0,,,0.0,8.694,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115021.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,
MDA,Europe,Moldova,2021-08-19,263500.0,426.0,282.286,6338.0,10.0,5.714,65320.381,105.603,69.977,1571.16,2.479,1.417,1.35,,,,,,,,,,1492901.0,370.083,,5617.0,1.392,0.036,27.8,tests performed,1188946.0,573001.0,572799.0,,15022.0,9836.0,29.47,14.2,14.2,,2438.0,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MCO,Europe,Monaco,2021-08-19,3105.0,6.0,9.286,33.0,0.0,0.0,79120.375,152.89,236.615,840.893,0.0,0.0,0.79,,,,,,,,,,,,,,,,,,44060.0,24454.0,19606.0,,,283.0,112.27,62.31,49.96,,7211.0,37.04,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MNG,Asia,Mongolia,2021-08-19,188412.0,1875.0,1425.143,891.0,2.0,3.143,57472.611,571.944,434.721,271.788,0.61,0.959,1.02,,,,,,,,,,,,,,,,,,4254734.0,2221121.0,2033613.0,,4554.0,5268.0,129.79,67.75,62.03,,1607.0,59.26,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,
MNE,Europe,Montenegro,2021-08-19,108108.0,532.0,443.714,1662.0,5.0,3.143,172129.503,847.05,706.482,2646.236,7.961,5.004,1.46,,,,,,,,,,,,,,,,,,364762.0,197605.0,167157.0,,2427.0,1937.0,58.08,31.46,26.61,,3084.0,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,
MSR,North America,Montserrat,2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2828.0,1460.0,1368.0,,,5.0,56.57,29.21,27.37,,1000.0,,4999.0,,,,,,,,,,,,,74.16,,
MAR,Africa,Morocco,2021-08-19,791559.0,9462.0,8639.286,11472.0,127.0,108.714,21445.327,256.349,234.06,310.805,3.441,2.945,1.1,,,,,,,,,51434.0,7454027.0,201.948,1.393,40619.0,1.1,0.231,4.3,people tested,29303420.0,16961675.0,12341745.0,,582260.0,335782.0,79.39,45.95,33.44,,9097.0,,36910558.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,
MOZ,Africa,Mozambique,2021-08-19,141383.0,618.0,688.143,1773.0,12.0,14.571,4523.469,19.773,22.017,56.726,0.384,0.466,0.79,,,,,,,,,5604.0,789771.0,25.268,0.179,4736.0,0.152,0.244,4.1,units unclear,1487560.0,916174.0,571386.0,,,14462.0,4.76,2.93,1.83,,463.0,,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
